,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
54,Usher,Hey Daddy (Daddy's Home),030OCtLMrljNhp8OWHBWW3,0.000176,0.59,224093,0.698,0.0,11,0.107,-4.262,1,0.0286,95.975,4,0.352
55,Kid Cudi,REVOFEV,0Epl79nHvdyTdZRAiWpJah,0.15,0.608,183173,0.544,0.00062,11,0.146,-6.465,0,0.0474,68.861,4,0.381
56,Kid Cudi,GHOST!,7aAEJfIzJUUSRXQNz2JzfO,0.0494,0.516,289067,0.708,4.6e-06,9,0.243,-4.465,0,0.0253,89.938,3,0.33
57,B.o.B,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",2bnDTGikdoO8CwzlAPyBHR,0.00325,0.665,319293,0.878,0.0,6,0.0663,-4.745,0,0.206,93.047,4,0.394
58,Lloyd Banks,"Beamer, Benz, Or Bentley",0cNJ3huiV99wvUN1tmQLTL,0.00402,0.652,208387,0.671,2.89e-05,4,0.598,-5.376,0,0.315,159.963,4,0.518
59,Drake,Miss Me,1U4mweNwisxNj23ffuC9gO,0.0813,0.426,305520,0.862,0.0,2,0.34,-5.979,1,0.597,100.3,5,0.332
60,Usher,More - RedOne Jimmy Joker Remix,0aBKFfdyOD1Ttvgv0cfjjJ,0.00166,0.551,219987,0.893,0.0,7,0.348,-2.628,1,0.0543,125.083,4,0.794
61,Slum Village,Fall In Love,2KBo6O5rkNdtYT3wYjkEkq,0.0486,0.796,235213,0.543,0.00584,1,0.124,-7.994,1,0.164,91.212,4,0.784
62,Gorillaz,Stylo (feat. Mos Def and Bobby Womack),6LUfuyLgvgqrykiTE6sJHY,0.00604,0.686,270520,0.751,0.000849,10,0.0979,-5.747,0,0.0604,100.222,4,0.851
63,Rick Ross,B.M.F. (Blowin' Money Fast),35QGdv6aFbIaLM0Ozr3rHt,0.0174,0.72,250307,0.863,0.0,2,0.178,-4.226,1,0.0562,139.98,4,0.363
64,Eminem,Won't Back Down,7kNlRLC9PEH8nXMVawssMx,0.0133,0.478,265907,0.951,2.21e-06,2,0.0533,-2.347,1,0.19,179.978,3,0.338
65,Nicki Minaj,Fly,5Fx2DfzfEm5KruaIsOC6xD,0.0148,0.664,212920,0.848,0.000118,10,0.1,-4.926,1,0.0386,119.878,4,0.196
66,Chino & Nacho,Niña Bonita,4u5xLMRN0dgKBFFN8FiNgv,0.257,0.676,216787,0.91,0.0,9,0.153,-5.096,1,0.132,120.022,4,0.716
67,Usher,There Goes My Baby,6IUiqtI8tE49sqGbmtrNd8,0.175,0.626,281293,0.52,0.0,9,0.13,-8.077,0,0.0892,77.468,4,0.257
68,Gyptian,Hold You - Hold Yuh,0j55p8YRAPG8yajtNyjt6A,0.321,0.69,233253,0.621,2.81e-05,8,0.0884,-3.583,1,0.06,66.858,3,0.497
