,artist_name,track_name,track_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
93,Taylor Swift,Enchanted,10eBRyImhfqVvkiVEGf0N0,2010,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187,4
94,Drake,Best I Ever Had,1GxHeBvQ9935Dd3cSfsfBa,2010,0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.605,162.161,258760,4
95,Bullet For My Valentine,Your Betrayal,25GC50HslaaruyrKjdu0lP,2010,0.569,0.883,2,-4.41,0,0.0747,8.07e-05,7.74e-05,0.0883,0.373,134.003,291427,4
96,Pierce The Veil,Bulletproof Love,6bGac1gBHs7kUKihrudMzq,2010,0.452,0.964,6,-2.877,1,0.0792,0.00205,5.31e-06,0.205,0.464,144.048,237400,4
97,Broken Bells,The High Road,5cwN1htZyoWqZCc33f3RfE,2010,0.61,0.637,0,-6.574,1,0.0238,0.0682,6.12e-06,0.284,0.609,79.955,232200,4
98,Soulja Boy,Pretty Boy Swag,2zOWuWdyuMqOoboNRKlJO0,2010,0.837,0.42,8,-5.158,1,0.0629,0.177,0.0,0.356,0.143,123.157,236093,4
99,Enrique Iglesias,Cuando Me Enamoro,79gkHjNTSyGPXEyGkNQ8zH,2010,0.821,0.819,1,-3.627,1,0.0272,0.0104,5.49e-05,0.145,0.893,126.03,200347,4
100,Drake,Find Your Love,4BycRneKmOs6MhYG9THsuX,2010,0.627,0.614,6,-6.006,0,0.17,0.0211,0.0,0.0286,0.758,96.038,208947,4
101,Waka Flocka Flame,Grove St. Party (feat. Kebo Gotti),2e9EZ2V5QGGZPMJacO3y0Y,2010,0.705,0.702,0,-4.783,0,0.108,0.138,0.0,0.364,0.771,140.059,250493,4
102,Metric,Black Sheep,72hSmnleYTiiOo23q8ZJIS,2010,0.509,0.646,11,-6.285,0,0.0365,0.00028,0.00468,0.0973,0.142,124.014,297460,4
103,Hannah Montana,I'll Always Remember You,60c0p6GGnuwdKcQnmuM2zC,2010,0.418,0.721,8,-2.736,1,0.0383,0.0486,0.0,0.0984,0.233,144.063,233333,4
104,Keith Urban,Long Hot Summer,3PY88239tYBnAv5LQoU2oY,2010,0.657,0.785,3,-8.428,1,0.037,0.0301,4.62e-06,0.0927,0.769,127.987,273587,4
105,Nelly Furtado,Promiscuous,3SwlakM6VX47IwG0Wll5ek,2010,0.807,0.97,10,-6.056,0,0.0477,0.0536,6.6e-05,0.149,0.876,114.297,242373,4
106,Big Time Rush,Worldwide,18vVJsD68uh386vlZWwO3d,2010,0.531,0.771,4,-6.162,1,0.0468,0.0735,0.0,0.17,0.617,159.973,224333,4
107,MARINA,Oh No!,0VVNXqaDwfHngG2gXaOtlI,2010,0.776,0.9,0,-3.97,1,0.0382,0.058,0.0,0.256,0.963,127.051,180467,4
108,Prince Royce,Stand by Me,0DQd0tWurMHUAv0cMnDELH,2010,0.737,0.821,9,-2.085,1,0.0292,0.144,9.11e-05,0.129,0.913,128.0,205267,4
109,Mike Posner,Please Don't Go,6jg5SRvdGxvJ0DzNV0UqEK,2010,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813,4
110,Arcade Fire,The Suburbs,2UWdUez9MB9yzL7Y81Mcip,2010,0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,315200,4
111,Darius Rucker,Come Back Song,4sHOAALFZiNa4wukjPSBpq,2010,0.516,0.745,9,-5.674,1,0.0381,0.138,0.0,0.114,0.77,177.781,235147,4
112,Selena,Bidi Bidi Bom Bom,0o9Vr0BGIQPh32staLHcuU,2010,0.569,0.721,10,-5.889,1,0.0375,0.102,3.38e-05,0.205,0.927,180.06,187524,4
113,Taylor Swift,The Story Of Us,3RBluWmSoG2pGA1OePzGJI,2010,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,265667,4
114,P!nk,F**kin' Perfect,3MGJF1CDFGfjXESL2Heva0,2010,0.57,0.646,7,-4.748,1,0.0331,0.0412,0.0,0.362,0.485,91.954,213413,4
115,Sleeping With Sirens,"If I'm James Dean, You're Audrey Hepburn",1wFRkVclQWfMQQcaVLjmBE,2010,0.425,0.936,8,-5.52,0,0.0829,2.1e-05,0.0,0.926,0.417,158.046,219107,4
116,Big Time Rush,Big Time Rush,5lEsM6qpuzuZwij6jIZPvP,2010,0.599,0.888,11,-2.931,0,0.0514,0.0273,0.0,0.28,0.833,121.05,197587,4
117,Pierce The Veil,Caraphernelia,2G8PweZBBwTpyP8vpNQJK2,2010,0.531,0.984,3,-3.767,0,0.0652,0.0017,1.13e-05,0.361,0.386,107.036,268480,4
118,Ludacris,How Low,1WtTLtofvcjQM3sXSMkDdX,2010,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,201587,4
119,Selena,Baila Esta Cumbia,3lFGBrRWUxpTfhhq6lGBRw,2010,0.711,0.803,0,-4.58,1,0.124,0.52,8.37e-06,0.0987,0.787,182.92,161907,4
120,Camila,Mientes,5EhzE6HJaCcLFrf5rPqvpk,2010,0.331,0.592,1,-6.127,1,0.0371,0.0824,0.0,0.109,0.312,170.436,205160,3
121,Black Eyed Peas,The Time (Dirty Bit),7vWFaMq63AwkFDhS2OAg5u,2010,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,307640,4
122,Two Door Cinema Club,Something Good Can Work,5yDX0yhtLyf0zEXEqXqyAa,2010,0.648,0.833,0,-5.321,1,0.0327,0.00583,0.000787,0.178,0.64,119.935,164187,4
123,Gorillaz,Rhinestone Eyes,1foMv2HQwfQ2vntFf9HFeG,2010,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,4
124,Miley Cyrus,Can't Be Tamed,2r6DdaSbkbwoPzuK6NjLPn,2010,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,168213,4
125,Christopher Wilde,Hero,3q3pZHncNkvIWJebMeuQqQ,2010,0.333,0.902,3,-4.65,1,0.123,0.0279,0.0,0.115,0.601,185.539,196893,4
126,Kesha,Blah Blah Blah (feat. 3OH!3),7lWUJpax919G4JdaFEVmCy,2010,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,172053,4
127,Phantogram,When I'm Small,21nf6u3sQbfViHX7wNZmhK,2010,0.646,0.758,10,-4.34,1,0.0314,0.191,0.097,0.103,0.424,91.998,249067,4
128,The Ready Set,Love Like Woe,4XRZbiVdsA5qv6f6qP70lS,2010,0.697,0.775,10,-4.106,1,0.0636,0.139,0.0,0.0737,0.822,90.015,200453,4
129,Rihanna,Love The Way You Lie (Part II) - Pt. 2,4aPRuTsiG7B4owTTF8Dm3U,2010,0.486,0.839,10,-4.5,1,0.158,0.327,0.0,0.048,0.398,165.948,296227,4
130,Taylor Swift,Dear John,1ubvV5ECkm6nSI6g1HmbBK,2010,0.589,0.47,4,-5.32,1,0.028,0.166,1.45e-06,0.112,0.102,119.386,403920,3
131,Beach House,Take Care,2XccfEuE57RfV6g0T16jYK,2010,0.567,0.865,1,-7.401,1,0.0289,0.472,0.000437,0.0845,0.421,110.851,348440,3
132,One Direction,Home,5UcphALlWd7sBBySclJvAi,2010,0.42,0.867,9,-5.397,1,0.0853,0.0115,0.0,0.0851,0.63,78.814,194907,4
133,Rihanna,Man Down,454h9zAIuTe1eJyw9iTnj4,2010,0.479,0.906,0,-4.03,0,0.188,0.0406,0.0,0.051,0.536,155.887,266987,4
134,YG,Toot It And Boot It,3AqcBOSlJF7xMgvLpQoa3c,2010,0.8,0.536,7,-9.533,1,0.0893,0.127,0.0,0.106,0.247,95.03,243747,4
135,Adele,Rolling in the Deep,5xPazRvyrkVootu8pM9vUG,2010,0.73,0.77,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,228093,4
136,Big Time Rush,Til I Forget About You,4mGJcOKQhmISIWgQ3xCiLB,2010,0.568,0.865,5,-3.653,1,0.0486,0.00632,0.0,0.158,0.55,122.014,237947,4
137,Yelawolf,Daddy's Lambo,49rnuaQOpoTeKe0PA5nKdo,2010,0.779,0.725,11,-7.128,1,0.145,0.0259,0.0,0.0946,0.335,131.997,227573,4
138,Gorillaz,Empire Ants (feat. Little Dragon),3a6PN6BRB8PP3ms48s7kU1,2010,0.601,0.772,0,-4.137,0,0.031,0.181,0.0543,0.0928,0.294,99.445,283573,4
139,Nicki Minaj,Fly,5Fx2DfzfEm5KruaIsOC6xD,2010,0.664,0.848,10,-4.926,1,0.0386,0.0148,0.000118,0.1,0.196,119.878,212920,4
140,Kesha,Grow A Pear,2ISUiwj8xXqHeUFcen0AIU,2010,0.863,0.667,0,-3.891,1,0.0508,0.0154,0.000341,0.125,0.892,120.011,208867,4
141,Chiddy Bang,Opposite of Adults,01oPNCtTniFT3YM4K3ksTf,2010,0.674,0.899,9,-5.115,1,0.193,0.011,0.0,0.327,0.604,95.999,191600,4
142,Kansas,Carry on Wayward Son,2SUpC3UgKwLVOS2FtZif9N,2010,0.452,0.788,7,-5.712,1,0.0326,0.00283,0.000116,0.441,0.793,126.739,322093,4
143,Taylor Swift,Sparks Fly,6d9IiDcFxtFVIvt9pCqyGH,2010,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,260933,4
144,Drake,Fancy,3fpTMuD1u3gJlVI4FadVHs,2010,0.53,0.884,0,-5.581,0,0.457,0.332,1.98e-06,0.355,0.28,87.194,319387,4
145,Marco Antonio Solís,¿A Dónde Vamos A Parar?,1Agu4u8a8Qm28zq5JtwaVv,2010,0.383,0.482,0,-4.979,1,0.0286,0.458,0.00381,0.121,0.181,143.916,228920,4
146,Josh Thompson,Blame It On Waylon,7M68YTelBnT9P1eO1idOOs,2010,0.653,0.826,2,-5.352,1,0.0315,0.0353,0.0,0.193,0.669,122.055,212648,4
147,Bruno Mars,Liquor Store Blues (feat. Damian Marley),4KykoaJQ5UxjCpp3lYkvTE,2010,0.691,0.824,1,-3.925,0,0.0731,0.11,0.0,0.353,0.685,75.516,229373,4
148,Usher,Hey Daddy (Daddy's Home),030OCtLMrljNhp8OWHBWW3,2010,0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975,224093,4
