,artist_name,track_name,track_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
57,Kings of Leon,Pyro,0umDVf77ygI5RiVp9OvNDj,2010,0.365,0.606,1,-7.174,0,0.0415,0.00757,0.052,0.103,0.191,114.995,250533,4
58,Deerhunter,He Would Have Laughed,6ZXoX3GiljGiuQpGCjWJI3,2010,0.354,0.668,4,-7.9,1,0.0392,0.461,0.721,0.159,0.372,118.54,449373,4
59,Joy Division,Love Will Tear Us Apart - 2010 Remaster,1r8oPEXqnhUVgkUkJNqEuF,2010,0.525,0.902,2,-8.662,1,0.0368,0.000989,0.691,0.137,0.907,146.83,204621,4
60,Josh Thompson,Blame It On Waylon,7M68YTelBnT9P1eO1idOOs,2010,0.653,0.826,2,-5.352,1,0.0315,0.0353,0.0,0.193,0.669,122.055,212648,4
61,The Naked And Famous,Punching In A Dream,5PtEpuVX03k9bOUwilL5EO,2010,0.473,0.883,6,-3.65,1,0.047,0.00201,0.000967,0.142,0.164,115.048,238133,4
62,Greensky Bluegrass,Time > Breathe Reprise >,30sRAEKuzybaAvhjEBmppp,2010,0.405,0.756,6,-6.361,0,0.0307,0.142,4.03e-05,0.638,0.606,133.379,338240,4
63,Josh Abbott Band,She's Like Texas,7k0ahlHosIWblaaIsEqJ8M,2010,0.501,0.523,2,-6.906,1,0.0324,0.582,0.0,0.122,0.24,156.108,235253,4
64,Arcade Fire,Sprawl II (Mountains Beyond Mountains),0U0p8weaMIbIFMJ0CPlvHV,2010,0.518,0.81,8,-6.445,1,0.029,0.016,0.0013,0.115,0.179,99.968,325547,4
65,The Ready Set,Love Like Woe,4XRZbiVdsA5qv6f6qP70lS,2010,0.697,0.775,10,-4.106,1,0.0636,0.139,0.0,0.0737,0.822,90.015,200453,4
66,Black Rebel Motorcycle Club,Beat the Devil's Tattoo,2iPTESocncak2Q45oXzKOG,2010,0.521,0.921,4,-2.744,1,0.0382,0.42,0.0207,0.175,0.707,96.51,225760,4
67,Local Natives,Wide Eyes,44DnIGEvTlhDkGv3xLSDcp,2010,0.528,0.86,11,-8.033,0,0.0397,0.00131,0.25,0.251,0.49,123.12,266053,4
68,The Green,Love I,4Hrw5VbQ9xDPdHdLCqBsSA,2010,0.856,0.47,7,-8.467,1,0.084,0.344,0.0,0.124,0.929,133.02,216240,4
69,Trampled by Turtles,Wait so Long,1QesQ27kCWYTYuXJi8SApS,2010,0.254,0.928,9,-5.885,0,0.318,0.487,1.33e-05,0.112,0.327,189.451,206400,4
70,Beach House,Take Care,2XccfEuE57RfV6g0T16jYK,2010,0.567,0.865,1,-7.401,1,0.0289,0.472,0.000437,0.0845,0.421,110.851,348440,3
71,Buck Owens,Act Naturally,3JWEMzwpcWCvu4Qw1BIbYi,2010,0.552,0.474,7,-6.847,1,0.0275,0.336,0.0,0.173,0.7,92.156,143693,4
72,Billy Ocean,"Get Outta My Dreams, Get Into My Car",2D4D3hiOf5U0W6SvJoCQph,2010,0.666,0.91,4,-6.457,1,0.0399,0.0879,8.43e-06,0.335,0.919,117.141,284373,4
73,LCD Soundsystem,I Can Change,2073QOEC8rBtSyTsRyaWiP,2010,0.644,0.73,1,-6.565,1,0.0287,0.00215,0.00178,0.233,0.695,116.981,352004,4
74,Gyptian,Hold You - Hold Yuh,0j55p8YRAPG8yajtNyjt6A,2010,0.69,0.621,8,-3.583,1,0.06,0.321,2.81e-05,0.0884,0.497,66.858,233253,3
75,Hinder,All American Nightmare,51HpNM8RKewP5PAuBLqXwy,2010,0.47,0.948,10,-3.708,1,0.0539,0.000773,0.000373,0.0916,0.716,82.491,197453,4
76,Justin Townes Earle,Harlem River Blues,705t4FIT7itZwAyFKt3krq,2010,0.475,0.705,7,-6.538,1,0.0619,0.0325,0.0,0.0693,0.471,155.6,168613,4
77,Whitey Morgan and the 78's,Bad News,0FkCbt8AiKnj7HRrS2R2Hi,2010,0.673,0.658,2,-7.101,1,0.0266,0.0614,0.00851,0.0741,0.494,87.528,317507,4
78,The Green,Wake Up,5iQCD42G5pGwBc6crVaHnq,2010,0.895,0.52,11,-9.451,0,0.0507,0.117,0.0,0.15,0.599,127.966,287613,4
79,Maná,Mariposa Traicionera,2USyvcBpPjhW0rgiD2R8Bp,2010,0.773,0.794,5,-4.954,0,0.0326,0.527,0.000354,0.113,0.907,101.143,264600,4
80,Josh Abbott Band,"Oh, Tonight (feat. Kacey Musgraves)",35DciiuaU8Lut9EkrlP4wR,2010,0.567,0.642,11,-4.836,1,0.0318,0.336,0.0,0.127,0.319,150.071,205507,4
81,AC/DC,Thunderstruck,52UWtKlYjZO3dHoRlWuz9S,2010,0.495,0.892,4,-5.601,1,0.0349,0.000128,0.0216,0.207,0.231,133.474,292413,4
82,The Steeldrivers,Ghosts Of Mississippi,0H7ROR8cZTsh6YUgnlqjM2,2010,0.32,0.723,11,-6.164,0,0.0617,0.45,0.0166,0.131,0.58,175.331,374440,4
83,Robyn,Dancing On My Own,3Rc2ajBMInxeNGVkMPC92Y,2010,0.678,0.871,6,-4.781,1,0.0342,0.0587,0.249,0.0928,0.28,117.029,285973,4
84,Ben Rector,When A Heart Breaks,4xYUnLUwwWMndNlCQi4CqX,2010,0.649,0.4,11,-10.917,1,0.0354,0.142,0.000208,0.112,0.185,141.984,256907,4
85,Randy Travis,"Forever and Ever, Amen",4rQSLX4qMiUWL81hEQOuPY,2010,0.701,0.678,2,-8.491,1,0.0264,0.302,1.55e-05,0.159,0.708,90.607,212587,4
86,Brantley Gilbert,Take It Outside,6qjcR3YhnmZ8qT7BGOXLR6,2010,0.427,0.743,6,-5.908,1,0.0343,0.000112,0.0275,0.148,0.486,156.784,256640,4
